selected_file,scanned_residues,reported_variants,completeness,completeness_group
urn-mavedb-00000517-a-2.scores.csv,40,1215,1.51875,c > 1
urn-mavedb-00000415-a-2.scores.csv,60,1315,1.0958333333333334,c > 1
urn-mavedb-00000727-a-1.scores.csv,69,827,0.5992753623188406,0.5 ≤ c < 0.6
urn-mavedb-00000587-0-1.scores.csv,43,930,1.0813953488372092,c > 1
urn-mavedb-00000202-0-1.scores.csv,72,1289,0.8951388888888889,0.8 ≤ c < 0.9
urn-mavedb-00000525-0-1.scores.csv,40,859,1.07375,c > 1
urn-mavedb-00000416-a-2.scores.csv,70,1497,1.0692857142857144,c > 1
urn-mavedb-00000742-a-1.scores.csv,89,1766,0.9921348314606742,0.9 ≤ c < 1
urn-mavedb-00000133-a-2.scores.csv,37,1186,1.6027027027027028,c > 1
urn-mavedb-00000201-a-1.scores.csv,72,1290,0.8958333333333334,0.8 ≤ c < 0.9
urn-mavedb-00000185-a-1.scores.csv,61,1701,1.3942622950819672,c > 1
urn-mavedb-00000503-a-2.scores.csv,43,944,1.0976744186046512,c > 1
urn-mavedb-00000631-a-2.scores.csv,56,1231,1.0991071428571428,c > 1
urn-mavedb-00000862-a-1.scores.csv,58,1099,0.9474137931034483,0.9 ≤ c < 1
urn-mavedb-00000048-c-1.scores.csv,351,6995,0.9964387464387464,0.9 ≤ c < 1
urn-mavedb-00001091-a-1.scores.csv,26,520,1.0,1
urn-mavedb-00000682-a-1.scores.csv,41,766,0.9341463414634147,0.9 ≤ c < 1
urn-mavedb-00000278-a-2.scores.csv,67,2188,1.6328358208955225,c > 1
urn-mavedb-00000581-a-2.scores.csv,43,941,1.094186046511628,c > 1
urn-mavedb-00000641-a-1.scores.csv,47,1030,1.0957446808510638,c > 1
urn-mavedb-00000656-a-2.scores.csv,47,1028,1.0936170212765957,c > 1
urn-mavedb-00000050-a-1.scores.csv,934,16749,0.8966274089935761,0.8 ≤ c < 0.9
urn-mavedb-00001234-e-1.scores.csv,392,2314,0.2951530612244898,0.2 ≤ c < 0.3
urn-mavedb-00000097-u-1.scores.csv,1,215,10.75,c > 1
urn-mavedb-00000499-a-2.scores.csv,43,937,1.0895348837209302,c > 1
urn-mavedb-00000360-a-2.scores.csv,72,1439,0.9993055555555556,0.9 ≤ c < 1
urn-mavedb-00001087-a-1.scores.csv,74,1360,0.918918918918919,0.9 ≤ c < 1
urn-mavedb-00000545-a-1.scores.csv,47,1032,1.097872340425532,c > 1
