train_size,train_RMSE,train_MAE,train_R2,train_r,test_size,test_RMSE,test_MAE,test_R2,test_r,gene_id,cut_percent
624,0.0255889882463177,0.014050548886500267,0.9931084747426525,0.9968659485068927,156,0.1724832785989339,0.12230996229085367,0.7124649406601591,0.8471940390887593,939,0.2
545,0.06798614643533223,0.045364979220786375,0.9471177383848915,0.9759385981919217,137,0.15639783100209345,0.10871194632251173,0.7607226079922317,0.8788244962833571,939,0.3
741,0.09872674423466903,0.07502780483713399,0.9367958984134138,0.974606587997111,186,0.2543036506052556,0.207310522866462,0.5693869163453074,0.7550441301924274,841,0.1
659,0.0965926169741879,0.07518228686717687,0.9365355005091932,0.9745082524594801,165,0.23973537988991836,0.18952013764433376,0.5889062340105344,0.773438257422753,841,0.2
576,0.013421445157676008,0.009107818481072014,0.9987426432244246,0.9995026985161567,145,0.22392730637950256,0.1790739426798302,0.6375724423646383,0.7991698427889066,841,0.3
641,0.03586538163108045,0.02579933101951123,0.9852562986331186,0.9939188745266819,161,0.16857362949457597,0.1377819059149938,0.6668864740590852,0.820838470080863,938,0.1
570,0.006512555479718464,0.0036210150735495983,0.9994710065485476,0.9997718089396259,143,0.1556776053455231,0.12722690665976022,0.7168171935316823,0.8509710977637707,938,0.2
499,0.03667084387995221,0.02596589469497659,0.983097265481419,0.9929559211159968,125,0.16395476069868234,0.1270078457339662,0.6390658749850321,0.8024988860287776,938,0.3
869,0.04491185895189465,0.03164482891273761,0.9768616300846213,0.9902172116067127,218,0.1727150658736439,0.12901986501790977,0.6875625779433675,0.8320668845025605,931,0.1
772,0.061187846500116445,0.044245607926025464,0.953215740561933,0.9800641905923461,194,0.15518331099249483,0.11402121750230829,0.6957918766909557,0.8377328435524969,931,0.2
676,0.027707299660616955,0.01929882825100517,0.9890119311443446,0.9952487064019543,169,0.1321335358576576,0.1006206614867405,0.7063243854257633,0.8410806774050438,931,0.3
745,0.025392875297266512,0.012082160369182807,0.9922300336789147,0.9965238872208705,187,0.14363254753382465,0.10603239800254959,0.7891858465352751,0.8898737198688454,681,0.1
662,0.020124502638221027,0.007853640324988304,0.994613327843815,0.997506616754836,166,0.12932213132791315,0.09771176870615471,0.8081753166082551,0.9022675614412313,681,0.2
580,0.04222621651866498,0.02767236783757745,0.9709195663795105,0.9869053434493127,145,0.13672088043434064,0.09948768862779865,0.8040694022767707,0.8999248753421091,681,0.3
1012,0.01810388289793936,0.007664554582546613,0.9929735851466726,0.9970999736806893,254,0.11746451279353956,0.08359209813212405,0.7637867139444113,0.8826422269319464,720,0.1
900,0.00781534250432065,0.0024779798228539095,0.9982336215546554,0.9992699392394446,225,0.11566255674580418,0.08571476216489476,0.6477466738655089,0.8084772457326607,720,0.2
788,0.07203703030221044,0.04083183660350464,0.8311858171343941,0.9424880809511844,197,0.12806068304228607,0.08501955107483586,0.43569873244042456,0.6822347829293594,720,0.3
888,0.06795127927192059,0.04518127181168376,0.9545324597860986,0.9800651687834719,223,0.1585072153279528,0.10945395803901616,0.7738435007879445,0.8824859743943833,674,0.1
790,0.028118145582951243,0.016378411266751984,0.9897475214850222,0.9956484417327763,198,0.13985421647491883,0.09665723400725061,0.714627413024573,0.8486986359484229,674,0.2
691,0.019914549828620065,0.011573957703039019,0.9916130358426442,0.9966909417269773,173,0.11953809994170628,0.08350034042790333,0.6841169748665152,0.8356363604705256,674,0.3
775,0.07697299748895887,0.04198178844780369,0.8991635335242592,0.9607674226401711,194,0.1398539578200486,0.08613753421551974,0.5468859436026298,0.740165084816306,909,0.1
