gene_id,urn,N_mutations_per_position,vefill-min_pears,vefill-max_pears
83,urn:mavedb:00000048-a-1,10,0.5507540858,
83,urn:mavedb:00000048-a-1,11,0.5834597297,
83,urn:mavedb:00000048-a-1,12,0.5897154262,
83,urn:mavedb:00000048-a-1,13,0.6126355972,
83,urn:mavedb:00000048-a-1,14,0.589518459,
83,urn:mavedb:00000048-a-1,15,0.6214634329,
83,urn:mavedb:00000048-a-1,16,0.6156768781,
83,urn:mavedb:00000048-a-1,17,0.6193168636,
83,urn:mavedb:00000048-a-1,18,0.6193698965,
83,urn:mavedb:00000048-a-1,20,0.6177538217,
84,urn:mavedb:00000048-b-1,1,0.09364013329,
84,urn:mavedb:00000048-b-1,2,0.2102445369,
84,urn:mavedb:00000048-b-1,3,0.2749579508,
84,urn:mavedb:00000048-b-1,4,0.3341787334,
84,urn:mavedb:00000048-b-1,5,0.3621457142,
84,urn:mavedb:00000048-b-1,6,0.364207385,
84,urn:mavedb:00000048-b-1,7,0.4255230309,
84,urn:mavedb:00000048-b-1,8,0.4155369698,
84,urn:mavedb:00000048-b-1,9,0.4304900517,
84,urn:mavedb:00000048-b-1,10,0.4488362463,
84,urn:mavedb:00000048-b-1,11,0.4531845151,
84,urn:mavedb:00000048-b-1,12,0.4302953385,
84,urn:mavedb:00000048-b-1,13,0.445431646,
84,urn:mavedb:00000048-b-1,14,0.460689812,
84,urn:mavedb:00000048-b-1,15,0.4606423604,
84,urn:mavedb:00000048-b-1,16,0.4676988004,
84,urn:mavedb:00000048-b-1,17,0.4702867085,
84,urn:mavedb:00000048-b-1,18,0.4696498332,
84,urn:mavedb:00000048-b-1,20,0.4664575571,
85,urn:mavedb:00000048-c-1,1,0.1337363245,
85,urn:mavedb:00000048-c-1,2,0.2511012854,
85,urn:mavedb:00000048-c-1,3,0.225291236,
85,urn:mavedb:00000048-c-1,4,0.3687751997,
85,urn:mavedb:00000048-c-1,5,0.4421964113,
85,urn:mavedb:00000048-c-1,6,0.4459014941,
85,urn:mavedb:00000048-c-1,7,0.4612872984,
85,urn:mavedb:00000048-c-1,8,0.4891283243,
85,urn:mavedb:00000048-c-1,9,0.5007788327,
85,urn:mavedb:00000048-c-1,10,0.4990446077,
85,urn:mavedb:00000048-c-1,11,0.4802229882,
85,urn:mavedb:00000048-c-1,12,0.5291574046,
85,urn:mavedb:00000048-c-1,13,0.5228858298,
85,urn:mavedb:00000048-c-1,14,0.532108268,
85,urn:mavedb:00000048-c-1,15,0.5325343619,
