,completeness,repeat,dms_id,pred_score,envision_pred,fdms_pred,lasso_pred,row-mean_pred,wu2019_pred,vefill-min_pred,vefill-max_pred,vefill-min_pears_dyn_mean,vefill-max_pears_dyn_mean,5nn-blosum100_pears_any,5nn-blosum100_pears_3to5,5nn-blosum100_pears_5,5nn-functional_pears_any,5nn-functional_pears_3to5,5nn-functional_pears_5
437,0.5,0,urn:mavedb:00000045-g-1,0.8843101513,0.8611242319,0.796896288,0.811220205,0.6338213157,0.6803507937,0.8651315107,0.8676322705,0.8616240844,0.864286681,0.6337495039,0.6338675321,0.6464145012,0.7405578677,0.7409023017,0.7620476658
206,0.5,0,urn:mavedb:00000045-h-1,0.7712972988,0.7507561225,0.6641552161,0.6598289366,0.4578831612,0.470828407,0.8449323994,0.8128353453,0.8335818838,0.8331566555,0.6946530016,0.6942316128,0.7118186719,0.749043964,0.7486758886,0.76495524
640,0.5,0,urn:mavedb:00000045-i-1,0.8193786624,0.7819041083,0.6578065704,0.6995365686,0.5890232048,0.6809101599,0.8200783587,0.8863187624,0.8290023037,0.8809080448,0.511192437,0.5085654826,0.5142097359,0.539230564,0.5365796116,0.5550226934
1032,0.5,0,urn:mavedb:00000045-k-1,0.719917987,0.721164017,0.007060800402,0.5947063827,0.3359323543,0.4328021356,0.8008680422,0.8486146892,0.7991613012,0.8454793942,0.7749522573,0.7769476109,0.7783927094,0.8380107111,0.840354741,0.8417332304
438,0.5,0,urn:mavedb:00000045-l-1,0.6179898393,0.6117525994,0.5379118445,0.6210867445,0.2742334774,0.3087243547,0.5243919134,0.7079425482,0.5197933417,0.6942412326,0.3927385868,0.3927385868,0.4113987066,0.5894260377,0.5894260377,0.5909090658
1317,0.5,0,urn:mavedb:00000047-a-1,0.6140638733,0.5306176053,0.5145425119,0.5434698673,0.4518447987,0.5153627574,0.6266588347,,0.6009421461,,0.3933437642,0.3923942165,0.3909172895,0.5502009954,0.549485673,0.5484692164
166,0.5,0,urn:mavedb:00000047-b-1,0.529873743,0.4789210892,0.4270293238,0.4983731673,0.3812024925,0.423657076,0.4793355113,,0.4137029542,,0.3069229012,0.305917661,0.2992053531,0.4752130112,0.4752764634,0.4790506661
349,0.5,0,urn:mavedb:00000047-c-1,0.5729352074,0.5809450461,0.4766631675,0.431485779,0.2939074511,0.4797689139,0.5366637048,,0.4771113127,,0.365932748,0.365932748,0.3767800316,0.4842153185,0.4842153185,0.4980343407
616,0.5,0,urn:mavedb:00000048-a-1,0.5914473197,0.5517225789,0.4821777492,0.5245324295,0.434635999,0.468810592,0.6412935635,,0.5946545666,,0.3481299176,0.3481299176,0.3590244321,0.4897242036,0.4897242036,0.5080989915
779,0.5,0,urn:mavedb:00000048-b-1,0.3937723388,0.3635813938,0.2840749204,0.3231525863,0.3073109916,0.2798406649,0.4703873288,,0.4345799806,,0.2950785581,0.2948438907,0.2927845693,0.373490086,0.3731622489,0.3761297239
