gene_id,train_size,train_rmse,train_mae,train_r2,train_r,test_size,test_rmse,test_mae,test_r2,test_r
783,695,0.18128354882520425,0.13543029633066953,0.8345641844307061,0.933069099564028,174,0.3123463330284053,0.25011246173838947,0.4079026626408181,0.6470498811598417
611,806,0.0709822445163146,0.05041067789492603,0.9498928495546206,0.9782299057042645,202,0.20117922463936147,0.15352373796551483,0.6528342515180414,0.8144724200451012
807,1149,0.13559141984294296,0.09739366566890867,0.853746965109224,0.9339212231972072,288,0.2231960421738011,0.1623766674221262,0.5284557019194054,0.7281469754298022
930,896,0.017179856705296703,0.009849508444053108,0.9971693181729088,0.9988287875695219,224,0.19391537040906454,0.14527851602773523,0.651074689607392,0.8073768292424925
978,676,0.02239469266157226,0.010815622793588255,0.9948532072481385,0.9975525622611076,170,0.13538388736826348,0.08364922282922405,0.8040826666347366,0.8978208865268212
781,818,0.11887533487868014,0.08620444100667804,0.90845433680991,0.9636430898707875,205,0.3086236188519282,0.2442756458426856,0.44551535872993075,0.6731001577756386
936,712,0.09577047607594817,0.07237687285349899,0.9466099990952983,0.9818831975999793,179,0.317354256054815,0.24903051389302044,0.30889852660964245,0.5691859098868469
823,707,0.10298171485536917,0.07666810237043498,0.8809207754328942,0.9573100742462755,177,0.2153990231999685,0.1639765214479787,0.4861900998260359,0.7049057607993097
926,948,0.07173207064080947,0.0504255372721697,0.9433618463272676,0.9780103782394922,238,0.21399216530737034,0.1644398986321017,0.4953121136277735,0.7071846508707453
1046,361,0.0900681683296414,0.056068090711079516,0.9307510094530885,0.9749431817501589,91,0.2808005837878228,0.21484831505905252,0.46215714173505673,0.7062907799739926
697,570,0.17591695543136668,0.12514256153002448,0.7690207667746709,0.8988910363705709,143,0.29049356514115215,0.21290254668138142,0.4285363290888975,0.6602385648631838
790,644,0.04258334028780379,0.02786765243378468,0.9861212800534795,0.9951165994373918,162,0.24100467264527858,0.18695141377224253,0.5005590335354559,0.7178301431885437
795,955,0.035180216123342344,0.02489347895155856,0.9903262711344001,0.9966941204876332,239,0.26083255162321234,0.2010259847932521,0.47670982844982046,0.6916730527190942
976,646,0.0466739750236045,0.026969827235310172,0.9749202605358758,0.9888712952857143,162,0.15970536726264814,0.10645323999410986,0.7090644462152118,0.8435248797855025
884,380,0.09032591341035533,0.06782869369671862,0.9476617679955761,0.9805525591945949,95,0.3116370580746462,0.22613351130519097,0.3803807777149836,0.62409217409682
1035,334,0.12400103396771579,0.09439690963117603,0.8723089113651493,0.9464353709378714,84,0.2276101213923009,0.1745758134699857,0.5535755793520308,0.7573072543525793
606,504,0.13911326451904335,0.10090398775349106,0.7687031789366068,0.9081878419557012,126,0.2157231458114654,0.1625517878057196,0.4321974106408025,0.6603068832576935
832,969,0.1178610096589288,0.09070595019788152,0.8931777286657835,0.9554907131919433,243,0.2356749245380532,0.18336504707426501,0.5348271558427131,0.7322243197040924
863,829,0.042286110355424004,0.03156954076755528,0.9867004981524942,0.9950053084088217,208,0.2677304854595575,0.21414558277617204,0.4155512099272427,0.6568654783091465
994,825,0.058657652408327175,0.04368207342407678,0.9695423428547539,0.9873985402759128,207,0.21217487780002206,0.16113595887398605,0.6161446494183216,0.7865567125921836
770,624,0.09162180509279086,0.06603449206773221,0.9211952149548891,0.9659269099516202,156,0.22705554364471817,0.16623997007972427,0.6093092456332573,0.780602550115171
643,599,0.02735451642520167,0.009786378584649738,0.9920665267389926,0.9965592408964146,150,0.19261574589391972,0.13390436439294431,0.5633896702581558,0.7522535409658238
943,892,0.16827721260092043,0.12783239814571426,0.8427097416527041,0.9367002478076762,224,0.29569950488227786,0.24392379575127202,0.5314155778101954,0.7344461340478544
818,827,0.013764031075227135,0.008405986700585939,0.9979997788354358,0.9991297737355647,207,0.18764311137857914,0.13838565398412173,0.6575965015828131,0.8115265897134901
904,1130,0.014424245405998773,0.007773687036768373,0.9981426667195353,0.9991674910246002,283,0.18100141839580072,0.12519101732300994,0.6940253118612352,0.8332617018983471
853,318,0.12111882690543849,0.09015131221473194,0.8881848580941055,0.9572402145284664,80,0.27884006940276723,0.2209898064353945,0.4219801811872492,0.649976513304505
613,1015,0.09597419231139839,0.07023628274761229,0.9184698648392321,0.9649366585468879,254,0.20299348188649344,0.15425974658151154,0.6488977016459743,0.8093963594449076
771,636,0.07878838758204694,0.04927398706951267,0.9248347590933891,0.9672053647655325,160,0.1905513843199291,0.14105835894155158,0.6849212523372057,0.8405213586451779
592,680,0.09818800620513979,0.059975331203762715,0.9484159229301558,0.9789496670664051,170,0.2925870352660097,0.23125042783920188,0.49501287073605393,0.7062286102654103
809,1056,0.04247957517981254,0.025529281842655124,0.9791606099828462,0.9903756186259656,265,0.1365067282869949,0.08532655800906477,0.7725937591624297,0.8794378294647689
700,332,0.09046764112147117,0.06306930625617248,0.9208013033688524,0.9656427867946378,84,0.2005242268635049,0.1584939891293055,0.6009040592397956,0.7788008753680984
968,348,0.06379096762355242,0.04452758555981035,0.9580850466663916,0.9835691342494544,88,0.1921428312360276,0.14958932347798076,0.6332376913027042,0.8068940551337408
932,926,0.07397183761213322,0.05263584409558252,0.9459998165472435,0.9770637178993147,232,0.19826126255795992,0.1410857994751651,0.5493365650745384,0.7469761672689686
990,955,0.13089050752893439,0.09480928238550763,0.8526309048462857,0.936474274644106,239,0.2017886251971184,0.14572412373401328,0.5958194123978319,0.7752716095293057
951,448,0.13837445159217684,0.10510985034809571,0.815342704227243,0.9251463843294838,112,0.18192737322349256,0.1412918133937607,0.5340254564957136,0.742766484728598
716,625,0.04708821631084688,0.028446648470815784,0.9799590795213038,0.9919578603433025,157,0.21011706103581604,0.15973920779528383,0.6406793784735415,0.8016020563775119
788,779,0.00749300726115666,0.0030710778254710337,0.9994663844342278,0.9997590617220694,195,0.18879048192928338,0.14447137176873937,0.6315467219199509,0.7953447177285916
819,831,0.11219834740687407,0.08232384605881048,0.9047323536497899,0.960051713150285,208,0.24418094343608868,0.19269335936340176,0.5084141843538743,0.7134159992328016
924,1049,0.00875914398940098,0.0032898747714720958,0.9994321453289382,0.9997278824294296,263,0.18053900303634327,0.13292899612972098,0.7613806169436865,0.8730380413924868
601,796,0.13845579808070888,0.10235215780633368,0.8269729629774986,0.9213889634683006,200,0.2376065270538357,0.1820321307688689,0.493140704224309,0.703754987221363
988,934,0.016270276870777062,0.005908095457400467,0.9959702704135672,0.9982999543057007,234,0.172357541517683,0.1091432397461969,0.5572752825033943,0.7513876793696019
699,349,0.07317222060684551,0.05372693987797559,0.9567500097985452,0.980261761179748,88,0.17938139417862226,0.13697930572513536,0.5967414356092263,0.7803075186927502
1004,702,0.05111952453762848,0.02981713761336642,0.9747617971164555,0.9888927312524527,176,0.17172799180569287,0.11697602596154456,0.6981310226273788,0.8363307410415936
703,378,0.10369979852191043,0.07720663795384418,0.9042486751930973,0.9587305570810659,95,0.2135193014559174,0.16559797018725114,0.6562863951993692,0.8113744262158655
750,15,0.3041103037346663,0.23167326059321372,-8.881784197001252e-16,,4,0.3065567523119256,0.25639044983157133,-0.17801766861302526,
869,79,0.10751162166049778,0.07754615860455781,0.7100399186902931,0.8981315209920243,20,0.2260310721677105,0.14783783588856517,0.25634327628870013,0.5214972203317607
559,84,0.20469561054857546,0.16681776837530723,0.7078082368984112,0.8858543323124264,21,0.25081609782494196,0.20084561845978138,0.42511389297180435,0.6563434689843476
1019,304,0.13297340131936217,0.09478152037437028,0.844678907749419,0.9282823706606141,77,0.18314533622988194,0.14876380825265093,0.6637753056409722,0.8322532007871186
707,1032,0.0960308707774892,0.07115653120086671,0.9286291069117555,0.9707713423802526,258,0.23840383293095171,0.1793008631823472,0.4864304025361068,0.6995009843011466
