gene_id_out,train_size,train_RMSE,train_MAE,train_R2,train_r,test_size,test_RMSE,test_MAE,test_R2,test_r
684,138474,0.16750568939214036,0.12349995073746046,0.7646951592704627,0.8769078761723956,1695,0.1802448474081658,0.12849443192460347,0.7474821909528985,0.8658947212540565
789,139395,0.14866612328477513,0.10952142945759985,0.8147976148544107,0.906083911940573,774,0.23138992127094557,0.17885248591742733,0.5653293344892656,0.7519200400723397
737,138761,0.18536661384966932,0.1365268640717362,0.7122949725374559,0.8456209495475707,1408,0.17158410207553343,0.1238865904374796,0.7382693611817609,0.8628194354753413
667,139147,0.16535085314188233,0.12196690002559518,0.7713470113464298,0.880821493084609,1022,0.16643366302789028,0.12194696135572738,0.695204612777357,0.8345562478567177
881,139413,0.18775406148549545,0.13832806140304107,0.7053041574311156,0.8415598739824193,756,0.1250024359233522,0.0898087670818042,0.7730046390682844,0.8795427414371376
963,138573,0.16502592850998318,0.1216585753263708,0.7717506997461661,0.8810724007872799,1596,0.18874061584045307,0.14133322251326527,0.6950807064358253,0.8359827876857566
785,139230,0.1979971716024351,0.14687352020723507,0.6712426442442417,0.8250003240604509,939,0.2636596316296967,0.20988711012375602,0.4905167227404771,0.7022051712470322
665,138593,0.17756848693567648,0.13084349423817476,0.7347437040529776,0.8589424821635272,1576,0.2789182264282896,0.21020762709411295,0.5090284186949323,0.7154152963437233
914,139235,0.14121228319628298,0.10410724782093843,0.8329192986831514,0.9164150046692382,934,0.17197200123767972,0.13165842250377285,0.7517481614687118,0.8675858019431508
635,139101,0.16076926062196784,0.11849356141090084,0.7829881003028822,0.8876242618302496,1068,0.2552169191539947,0.19537840177574023,0.5475238916979177,0.7412836887629863
668,139100,0.14989398299612447,0.11057277930471109,0.811930720784628,0.9044537057226849,1069,0.16765543529018148,0.11968550999506385,0.7270937261892272,0.8546906396831991
698,139752,0.1413506339595469,0.10416838214916338,0.8325141579682458,0.916165572313811,417,0.24340295696545525,0.18759697372771475,0.5752570448995844,0.7592198802337733
740,139222,0.17971474484971453,0.1323057573230176,0.7294768173237811,0.8558226090358275,947,0.19405126714035653,0.147825414724618,0.672985255214835,0.8203802199231889
597,139088,0.16727838910118958,0.12326229800959726,0.7656030160102015,0.877372260878781,1081,0.231472026555364,0.18059059122893345,0.5298051547756106,0.7284984689825105
891,138946,0.15794631758403116,0.11659907955653769,0.7913034915215212,0.8925539405236808,1223,0.1251466472619973,0.08540155175795999,0.8112967226023836,0.900814694219624
847,139178,0.16888885355396469,0.12449416160393084,0.7613018426150057,0.8748542124626765,991,0.1776587957547034,0.1292608860539577,0.683914419256447,0.8303857656703995
1045,139758,0.1678421480494229,0.12370215750150997,0.7640773993110327,0.8764827500359654,411,0.1959736525097434,0.1485529226354053,0.6341567819134637,0.7964544239116486
927,138977,0.14150794585876023,0.10426142023135782,0.8324656378913327,0.9160945408674063,1192,0.20168524205329835,0.1484528079954974,0.5931337678013446,0.7704526530561602
928,138937,0.14158556415522494,0.1043249178852952,0.832229014843449,0.9160225646414969,1232,0.14925935636875864,0.11002650764983167,0.788774255519292,0.8887805909040464
685,139022,0.19127409675352874,0.14108661055313723,0.69347196604654,0.8352115691626877,1147,0.22443322669123508,0.16152636637795525,0.5583260123678403,0.7475260963255057
683,138793,0.16969015488737157,0.12507020320075815,0.7590622425055074,0.8735057271804392,1376,0.19869344734568944,0.15046837694994172,0.6172560056247459,0.7880141529549487
632,138886,0.1868702515583465,0.13761854065366505,0.708387490209275,0.8433106441212561,1283,0.160051036080112,0.11664502264060493,0.6515984993674282,0.8087475797136271
779,138676,0.14156833568584498,0.10438672859298226,0.8319481340688655,0.9158933868634882,1493,0.18878323651724335,0.13980062297613874,0.7104937634434485,0.8447856050845398
945,138743,0.1618551879492731,0.11936492315182022,0.7807960618953347,0.8863924922197726,1426,0.16914219972513753,0.1254645994047235,0.7265979806384977,0.8540533928496028
766,138805,0.165884332916851,0.12226818043127043,0.7692589635733303,0.8795944345795264,1364,0.19708194381936053,0.1484621028862743,0.6598500147717707,0.8132456052572896
783,139300,0.16507215465091013,0.12173729203706332,0.770738227747846,0.8803912369763696,869,0.3218700003141436,0.24753026758828925,0.4649274791052316,0.6821891010343721
611,139161,0.15164444714502542,0.11181405991068863,0.8075266772344085,0.9019621472562576,1008,0.1590793622344312,0.12013820353003091,0.7564546649236121,0.871370776937485
807,138732,0.14116644060763517,0.10410092602293547,0.8329707958441627,0.9164231274278808,1437,0.20064099351085346,0.14811867617935276,0.6698615949886242,0.8185466541998074
930,139049,0.1414379917433753,0.10423995310335728,0.8325583285482976,0.9161917085363076,1120,0.18544247665136418,0.13914822103186805,0.6724526219531215,0.8205564558301836
978,139323,0.15813197622504105,0.11662904300993687,0.7906962604533645,0.8922121993391121,846,0.11107656199846642,0.0727771151838883,0.8723681868170658,0.9345120074036173
781,139146,0.14104267610280444,0.10397033586717652,0.8329192566281605,0.9163702436845781,1023,0.2585497254710614,0.19750037188010558,0.5772607684303157,0.7611035260675111
936,139278,0.17708104586851262,0.13051510826784984,0.7364268742473237,0.8599331433564338,891,0.3184073511440383,0.25217982197505656,0.396956135556111,0.6310160963336937
823,139285,0.1761842893450421,0.12976899887669394,0.7403212028048328,0.862267636656585,884,0.22410473052306149,0.1680780223733808,0.43771650144216,0.6630802886928132
926,138983,0.14159949106457964,0.10438719409882678,0.832336952099374,0.9160627751852269,1186,0.18691298712478416,0.13992123909370344,0.6154230857863552,0.7845341511072114
1046,139717,0.15231370814848635,0.11231149708544842,0.8056190850703819,0.9007891173816615,452,0.2655381495854347,0.19643537437682299,0.4290909526638551,0.6554171839658027
697,139456,0.17111664243722274,0.12609185656897914,0.7540528464675986,0.8705459932173503,713,0.2504355876697226,0.18273747425432532,0.5415857982703414,0.7399325210274434
790,139363,0.18789628408177148,0.13838486414282228,0.704099162836789,0.8409471651365482,806,0.26378357823326787,0.20086362794759274,0.4574745155623229,0.6767447265494875
795,138975,0.1552231663105636,0.1143948941358054,0.7975128687957084,0.8960885860211588,1194,0.26592103993640925,0.2099633575951763,0.4496882641142378,0.6732624664645744
976,139361,0.14964595524338423,0.11033681445531647,0.8126255175049812,0.9048684142519566,808,0.14015738373515924,0.09863963611253979,0.7742757290379367,0.8800831871026463
884,139694,0.17753956676099003,0.13083767037224592,0.7356219481913717,0.8594810783791951,475,0.2933375540641576,0.218529483904115,0.4488955344012706,0.6719134199820883
1035,139751,0.14682200594075837,0.10823117308629344,0.8193855073131776,0.9086997635490621,418,0.2293122737351386,0.17722362889778595,0.5602300134491426,0.74997404118779
606,139539,0.17657613975866496,0.13004048961734974,0.7391454758300959,0.861600604271701,630,0.20089257706320218,0.14672240619987287,0.5157701264106634,0.7193120165807456
832,138957,0.16140908457895767,0.1189516465666436,0.7813093796930372,0.8866566986754352,1212,0.22959175256536557,0.179629579933787,0.588042415347185,0.7693556813085418
863,139132,0.15131873706914203,0.11152279739941219,0.8079276164761781,0.9021405276374671,1037,0.2313046163145731,0.184146210927936,0.5957832444042106,0.7727086513758055
994,139137,0.15977973353332528,0.11776433841638732,0.786189895469694,0.889521237037607,1032,0.18856008904957244,0.14667759463435492,0.6888524520653785,0.8310253411002052
770,139389,0.14196447378201457,0.10464924589144654,0.8310902324581365,0.9153757951306851,780,0.2001036892380332,0.14854009929500858,0.6434020618614188,0.8054152022246301
643,139420,0.165358537596714,0.12187464689756695,0.7711932769942462,0.8806909269497397,749,0.2057336722179191,0.15055679198049537,0.5421908917946253,0.7370016600214815
943,139053,0.14024250784576942,0.10344759749731082,0.8345369650055603,0.9172017002472326,1116,0.30457795876468713,0.23547889413612846,0.4887703626443507,0.6999399648677009
818,139135,0.16028673775373792,0.11816503139778893,0.7850704744263862,0.8888990343778824,1034,0.15655365571590213,0.11978459302841143,0.7456013935101189,0.8639768525484941
904,138756,0.17474530740384217,0.12881165486741003,0.7443610909467067,0.8647636669370342,1413,0.16886579641212626,0.1216386718933243,0.7432653877318534,0.8642659813870539
853,139771,0.15530281152684733,0.1145233077559742,0.7978642478429617,0.8963114242147306,398,0.2702325614918602,0.21231607950390824,0.4462465849210291,0.6682205691421053
613,138900,0.17129350822807737,0.12619700598726186,0.7542450857585206,0.870641435028922,1269,0.19573422741850813,0.14913753542898175,0.663643241059862,0.8174557680094225
771,139373,0.1413156803732048,0.10424995123540405,0.8328642554944125,0.9163686295417794,796,0.1619970255615034,0.11935038224133872,0.70823652703894,0.841970942638778
592,139319,0.17142217749038566,0.12634841168536579,0.7530068636850793,0.8698594875509358,850,0.2935904308886459,0.2202716484018582,0.5306166729781219,0.7287401983358123
809,138848,0.17110898982540942,0.12619378073193316,0.7552017203550216,0.8712526697636064,1321,0.12849146747169515,0.08674043008590733,0.8072602062727391,0.8989189661972068
700,139753,0.14143000408772158,0.10425571692987551,0.8324900678274618,0.9161698851010922,416,0.1767156442521123,0.12948272879943062,0.6966688623835049,0.8349212328336191
968,139733,0.16468585868674332,0.1214081389413386,0.7729148082196571,0.88172805302836,436,0.20333373263486693,0.15024533999042067,0.5772811183645844,0.760320546800684
932,139011,0.14236784352901513,0.10496535065179001,0.830425711056329,0.9150180228895632,1158,0.17155090746781215,0.12539647894793,0.7019212929654794,0.8382282076592901
990,138975,0.17017745819496907,0.12543268306547123,0.7574632660074043,0.8725681623412906,1194,0.20575066120534657,0.1488062786809173,0.6265334980067886,0.7931218173778424
951,139609,0.18495347682731011,0.13611092281375756,0.7136220463772452,0.8463590338733021,560,0.18202288403551956,0.13650120532602195,0.6607791488065146,0.8137204431790483
716,139387,0.14432927152415856,0.10638474306177698,0.8255126114656326,0.9121955426253109,782,0.2003995392850891,0.1460576628734591,0.6448983443065113,0.8043530535423649
