gene_id,cut_percent,train_size,train_rmse,train_mae,train_r2,train_r,test_size,test_rmse,test_mae,test_r2,test_r
717,0.2,851,0.08636817322,0.06521421378,0.9201321959,0.9699494302,213,0.2438576158,0.1919159387,0.4321765376,0.6574589368
717,0.3,744,0.08987238609,0.06851520062,0.9073714562,0.9665671365,187,0.2267259792,0.17778202,0.4678205314,0.6863215397
1005,0.1,608,0.035288123,0.02373395728,0.9844172539,0.993848316,153,0.191338393,0.1473874845,0.6199823784,0.7883852005
1005,0.2,540,0.04969788562,0.03610040366,0.9644004617,0.9856910424,136,0.1842854688,0.1445459875,0.6152269393,0.7961667902
1005,0.3,473,0.02956487803,0.01999575155,0.9875176966,0.9949076027,119,0.1555338614,0.1176662801,0.6138876158,0.7842308966
939,0.1,701,0.04442091545,0.02746012372,0.9801856427,0.9908220292,176,0.1680816615,0.118394296,0.7575809162,0.8713210259
939,0.2,624,0.02558898825,0.01405054889,0.9931084747,0.9968659485,156,0.1724832786,0.1223099623,0.7124649407,0.8471940391
939,0.3,545,0.06798614644,0.04536497922,0.9471177384,0.9759385982,137,0.156397831,0.1087119463,0.760722608,0.8788244963
841,0.1,741,0.09872674423,0.07502780484,0.9367958984,0.974606588,186,0.2543036506,0.2073105229,0.5693869163,0.7550441302
841,0.2,659,0.09659261697,0.07518228687,0.9365355005,0.9745082525,165,0.2397353799,0.1895201376,0.588906234,0.7734382574
841,0.3,576,0.01342144516,0.009107818481,0.9987426432,0.9995026985,145,0.2239273064,0.1790739427,0.6375724424,0.7991698428
938,0.1,641,0.03586538163,0.02579933102,0.9852562986,0.9939188745,161,0.1685736295,0.1377819059,0.6668864741,0.8208384701
938,0.2,570,0.00651255548,0.003621015074,0.9994710065,0.9997718089,143,0.1556776053,0.1272269067,0.7168171935,0.8509710978
938,0.3,499,0.03667084388,0.02596589469,0.9830972655,0.9929559211,125,0.1639547607,0.1270078457,0.639065875,0.802498886
